study,measure,n
arabic_stroop,n_accuracy,10889
arabic_stroop,n_accuracy_filtered,9881
arabic_stroop,n_rt,9149
arabic_stroop,n_rt_filtered,8434
arabic_stroop,trials_removed_accuracy,1008
arabic_stroop,trials_removed_rt,2455
arabic_stroop,percent_removed_accuracy,9.257048397465333
arabic_stroop,percent_removed_rt,22.545688309302967
chinese_stroop,n_accuracy,11131
chinese_stroop,n_accuracy_filtered,9401
chinese_stroop,n_rt,8364
chinese_stroop,n_rt_filtered,7690
chinese_stroop,trials_removed_accuracy,1730
chinese_stroop,trials_removed_rt,3441
chinese_stroop,percent_removed_accuracy,15.542179498697331
chinese_stroop,percent_removed_rt,30.913664540472553
dutch_stroop,n_accuracy,11132
dutch_stroop,n_accuracy_filtered,10024
dutch_stroop,n_rt,9258
dutch_stroop,n_rt_filtered,8450
dutch_stroop,trials_removed_accuracy,1108
dutch_stroop,trials_removed_rt,2682
dutch_stroop,percent_removed_accuracy,9.953287818900467
dutch_stroop,percent_removed_rt,24.092705713259072
