term,beta_st,mean_estimate,mean_se,power
stroop1:trial_type1,0,-2.9732950149669473e-5,0.00296299832308342,0.048
stroop1:trial_type1,0.001,9.963848430447314e-4,0.002965822930343929,0.049
stroop1:trial_type1,0.002,0.00190517990815067,0.0029489119994239085,0.088
stroop1:trial_type1,0.003,0.003137404684457152,0.0029759678221704593,0.159
stroop1:trial_type1,0.004,0.004147018616866034,0.0029554348037460106,0.281
stroop1:trial_type1,0.005,0.005058786391334928,0.0029532417450125244,0.39
stroop1:trial_type1,0.006,0.006050398653914419,0.0029447737791108335,0.51
stroop1:trial_type1,0.007,0.0069509336823755695,0.002943464606528898,0.631
stroop1:trial_type1,0.008,0.007947342040795582,0.0029378086726761505,0.756
stroop1:trial_type1,0.009,0.009073383590369797,0.0029496354280215747,0.861
stroop1:trial_type1,0.01,0.010145899715956839,0.0029494913833456554,0.923
stroop1:trial_type1,0.011,0.010935875901105317,0.002942475136837323,0.952
stroop1:trial_type1,0.012,0.01185843602742557,0.0029470029937749016,0.981
stroop1:trial_type1,0.013,0.012939394408614094,0.0029621358836282186,0.995
stroop1:trial_type1,0.014,0.013964257643398138,0.0029570925102194124,0.998
stroop1:trial_type1,0.015,0.01499855048723778,0.0029523738879095947,0.997
